mission,target_id,ra,dec,period_days,transit_duration_hours,depth_ppm,planet_radius_re,stellar_radius_rs,stellar_teff_k,stellar_logg,snr,disposition,source
KEPLER,K04085.01,298.91278,40.110851,0.914468919,2.695,3426.3,36.84,0.989,5762.0,4.415,189.0,FALSE POSITIVE,kepler_koi
KEPLER,K04086.01,286.99091,38.916222,1.54039744,1.787,127.6,1.08,0.884,5649.0,4.421,7.0,FALSE POSITIVE,kepler_koi
KEPLER,K04087.01,285.34995,41.452209,101.1107014,8.029,878.1,1.61,0.561,4133.0,4.705,24.1,CONFIRMED,kepler_koi
KEPLER,K04088.01,297.36047,40.056141,0.907943645,1.9144,1028.9,49.37,1.166,6434.0,4.354,53.7,FALSE POSITIVE,kepler_koi
KEPLER,K04089.01,296.34622,50.390789,0.531106622,3.0293,5133.6,7.54,0.762,4978.0,4.539,286.2,FALSE POSITIVE,kepler_koi
KEPLER,K04090.01,295.16696,46.754341,1.332547503,4.521,130.3,1.23,0.999,6077.0,4.471,25.5,FALSE POSITIVE,kepler_koi
KEPLER,K02673.01,297.46594,48.089329,4.593595496,2.7468,45034.0,44.14,0.884,5717.0,4.538,92.0,FALSE POSITIVE,kepler_koi
KEPLER,K00282.01,288.45065,40.245327,27.50871575,5.9291,639.2,2.98,1.137,5903.0,4.304,190.3,CONFIRMED,kepler_koi
KEPLER,K02674.01,289.65125,43.824421,197.5111484,11.106,2575.6,9.52,1.674,5616.0,4.004,175.2,CONFIRMED,kepler_koi
KEPLER,K02674.02,289.65125,43.824421,11.1726723,6.106,76.8,1.5,1.674,5616.0,4.004,17.0,CONFIRMED,kepler_koi
KEPLER,K02674.03,289.65125,43.824421,2.53573284,3.989,68.0,1.36,1.674,5616.0,4.004,25.5,CONFIRMED,kepler_koi
KEPLER,K02675.01,292.97125,41.03577,5.448321078,2.2213,529.4,2.17,0.905,5721.0,4.517,55.1,CONFIRMED,kepler_koi
KEPLER,K02675.02,292.97125,41.03577,1.116127169,1.3235,109.2,1.0,0.905,5721.0,4.517,19.2,CONFIRMED,kepler_koi
KEPLER,K00285.02,289.08606,41.562958,26.723169,8.501,195.0,2.31,1.67,5862.0,4.05,67.5,CONFIRMED,kepler_koi
KEPLER,K02745.01,289.31149,51.320862,15.64588656,3.959,572.1,2.18,0.916,5896.0,4.518,26.9,CONFIRMED,kepler_koi
KEPLER,K02746.01,298.41934,40.440819,69.2002312,5.679,2271.5,45.24,1.267,7044.0,4.337,30.0,FALSE POSITIVE,kepler_koi
KEPLER,K02747.01,284.83841,42.070431,6.26404774,2.39,378.7,1.55,0.817,5032.0,4.511,20.1,CONFIRMED,kepler_koi
KEPLER,K02748.01,296.27771,46.89986,23.1985852,9.821,224.7,2.61,1.756,5416.0,3.951,28.2,CONFIRMED,kepler_koi
KEPLER,K02748.02,296.27771,46.89986,5.77721259,2.462,134.3,2.17,1.756,5416.0,3.951,17.7,CONFIRMED,kepler_koi
KEPLER,K02749.01,291.00287,44.899452,0.905037231,1.4351,37.5,1.1,1.763,6223.0,4.01,29.0,FALSE POSITIVE,kepler_koi
KEPLER,K00292.01,287.32663,48.673431,2.586639524,2.253,217.7,1.44,0.966,5780.0,4.421,77.3,CONFIRMED,kepler_koi
KEPLER,K02840.02,298.35361,41.820068,7.4464635,4.084,78.0,0.77,0.848,5676.0,4.474,12.7,CANDIDATE,kepler_koi
KEPLER,K02841.01,293.6394,44.982529,159.388788,8.432,1033.0,2.73,0.874,5135.0,4.464,17.3,CONFIRMED,kepler_koi
KEPLER,K02842.01,282.25021,44.921108,1.565412613,0.7572,2754.6,1.73,0.328,3464.0,4.923,48.6,CONFIRMED,kepler_koi
KEPLER,K02842.02,282.25021,44.921108,5.14892346,0.9613,2355.0,1.72,0.328,3464.0,4.923,25.4,CONFIRMED,kepler_koi
KEPLER,K02842.03,282.25021,44.921108,3.036208739,0.9324,1820.5,1.4,0.328,3464.0,4.923,26.0,CONFIRMED,kepler_koi
KEPLER,K02844.01,297.38028,39.941071,2.72288246,2.408,152.6,1.06,0.872,5458.0,4.53,15.5,FALSE POSITIVE,kepler_koi
KEPLER,K02926.01,283.33606,47.174541,12.2854718,2.996,1617.1,2.21,0.564,3891.0,4.718,23.8,CONFIRMED,kepler_koi
KEPLER,K02926.02,283.33606,47.174541,5.53609368,2.2942,1223.3,2.2,0.564,3891.0,4.718,22.6,CONFIRMED,kepler_koi
KEPLER,K02926.03,283.33606,47.174541,20.9569985,3.493,1917.9,2.38,0.564,3891.0,4.718,22.7,CONFIRMED,kepler_koi
KEPLER,K02926.04,283.33606,47.174541,37.6333868,4.49,1661.7,2.25,0.564,3891.0,4.718,18.6,CONFIRMED,kepler_koi
KEPLER,K02926.05,283.33606,47.174541,75.731195,4.859,2496.0,3.47,0.564,3891.0,4.718,16.3,CANDIDATE,kepler_koi
KEPLER,K02927.01,290.54007,41.09304,24.4359956,6.254,496.6,2.31,1.035,6197.0,4.449,17.1,CANDIDATE,kepler_koi
KEPLER,K02928.01,290.2471,38.33939,17.7337356,5.558,217.3,1.24,0.831,5335.0,4.56,17.0,FALSE POSITIVE,kepler_koi
KEPLER,K03025.01,294.34164,46.49876,13.1829329,3.594,518.0,1.84,0.827,5382.0,4.571,13.8,CONFIRMED,kepler_koi
KEPLER,K03026.01,284.92859,42.42231,3.51575492,1.381,237.4,1.35,0.901,5094.0,4.45,15.2,CONFIRMED,kepler_koi
KEPLER,K00308.01,293.92972,41.602871,35.5969684,6.691,684.5,3.72,1.209,6212.0,4.309,52.5,CONFIRMED,kepler_koi
KEPLER,K03027.01,291.6756,48.762562,6.07032548,1.341,311.6,1.36,0.763,5076.0,4.598,11.9,CONFIRMED,kepler_koi
KEPLER,K03028.01,294.96246,46.676289,1.33256952,2.915,163.5,1.06,0.82,5547.0,4.571,16.5,FALSE POSITIVE,kepler_koi
KEPLER,K03029.01,298.75836,41.159882,18.9763286,2.379,329.8,2.24,0.986,5300.0,4.385,11.0,CANDIDATE,kepler_koi
